	title	year	certificate	runtime	genre	imdb_rating	votes	metascore	gross
8335	Bеликий Бак Ховард	2008	PG	90	['Adventure', 'Comedy', 'Drama']	6.4	14403	63	748363
8336	Out of Rosenheim	1987	95 min	95	['Comedy', 'Drama']	7.4	14397	71	3587303
8337	Миля лунного света	2002	16+	117	['Drama', 'Romance']	6.6	14395	59	6835856
8338	Deathtrap	1982	116 min	116	['Comedy', 'Crime', 'Mystery']	7.0	14394	54	19282134
8339	Night of the Demon	1957	95 min	95	['Fantasy', 'Horror', 'Mystery']	7.4	14392	0	0
8340	Не стучи дважды	2016	16+	93	['Drama', 'Fantasy', 'Horror']	5.1	14390	45	0
8341	Дублёр	2022	PG-13	124	['Comedy', 'Drama', 'Romance']	6.7	14388	62	0
8342	Baisers volés	1968	91 min	91	['Comedy', 'Drama', 'Romance']	7.6	14387	0	0
8343	Бэтмен и Харли Квинн	2017	PG-13	74	['Animation', 'Action', 'Adventure']	5.9	14386	0	0
8344	Фундаменталист поневоле	2012	R	130	['Drama', 'Thriller']	6.8	14383	54	519535
8345	The Petrified Forest	1936	82 min	82	['Drama', 'Thriller']	7.5	14377	0	0
8346	Jaane Bhi Do Yaaro	1983	132 min	132	['Comedy', 'Crime', 'Drama']	8.3	14370	0	0
8347	Норт	1994	12+	87	['Adventure', 'Comedy', 'Drama']	4.5	14369	0	7138449
8348	L'âge d'or	1930	60 min	60	['Comedy', 'Drama']	7.2	14369	0	32712
8349	Alligator	1980	91 min	91	['Horror', 'Sci-Fi', 'Thriller']	6.1	14364	62	0
8350	Топор 2	2010	R	85	['Action', 'Comedy', 'Horror']	5.4	14361	49	62000
8351	Золото	2018	151 min	151	['Drama', 'History', 'Sport']	7.3	14358	0	0
8352	Khuda Haafiz Chapter II: Agni Pariksha	2022	144 min	144	['Action', 'Crime', 'Drama']	7.5	14353	0	0
8353	Свет моей жизни	2019	18+	119	['Drama', 'Sci-Fi', 'Thriller']	6.6	14352	67	0
8354	Три часа на побег	2010	R	84	['Action', 'Crime', 'Drama']	6.8	14347	75	706937
8355	Будь собой	1998	R	108	['Comedy', 'Drama', 'Romance']	7.5	14343	0	1200000
8356	Ветчина, ветчина	1992	18+	95	['Comedy', 'Drama', 'Romance']	6.4	14335	0	938473
8357	Заснеженные кедры	1999	PG-13	127	['Drama', 'Mystery', 'Romance']	6.7	14335	44	14378353
8358	Пожалуйста, приготовьтесь	2017	PG-13	93	['Comedy', 'Drama']	6.7	14334	49	9868
8359	Молодой Адам	2003	18+	98	['Crime', 'Drama']	6.4	14333	67	767240
8360	Skammen	1968	103 min	103	['Drama']	8.0	14323	0	0
8361	The Women	1939	133 min	133	['Comedy', 'Drama']	7.7	14321	0	2270000
8362	Закусочная на колесах	1984	12+	108	['Action', 'Comedy', 'Crime']	7.0	14321	0	0
8363	Обитель зла: Вендетта	2017	R	97	['Animation', 'Action', 'Adventure']	6.2	14318	0	0
8364	Shoot to Kill	1988	110 min	110	['Action', 'Adventure', 'Crime']	6.8	14318	56	29300090
8365	Незапланированная	2019	R	109	['Biography', 'Drama']	5.5	14315	10	18988743
8366	Принцесса	2022	R	94	['Action', 'Drama', 'Fantasy']	5.6	14308	43	0
8367	Jezebel	1938	104 min	104	['Drama', 'Romance']	7.4	14306	0	0
8368	Чёрный медведь	2020	R	104	['Comedy', 'Drama']	6.5	14303	79	0
8369	Остров	2000	18+	90	['Drama', 'Thriller']	6.9	14302	61	21075
8370	Old Yeller	1957	83 min	83	['Adventure', 'Drama', 'Family']	7.2	14300	84	21909000
8371	Онг Бак 3	2010	18+	99	['Action']	4.9	14299	38	14498
8372	Взаперти	2016	PG-13	91	['Drama', 'Horror', 'Mystery']	4.8	14296	25	6883951
8373	The Front Page	1974	105 min	105	['Comedy', 'Drama', 'Romance']	7.3	14293	62	17300000
8374	Die Ehe der Maria Braun	1979	120 min	120	['Drama']	7.7	14293	0	0
8375	Аура	2005	134 min	134	['Crime', 'Drama', 'Thriller']	7.1	14284	78	56103
8376	Невыдуманная история	1999	145 min	145	['Action', 'Crime', 'Drama']	8.0	14280	0	0
8377	История Рикки	1991	R	91	['Action', 'Comedy', 'Crime']	7.0	14278	0	0
8378	Команда Фастфуд	2007	R	86	['Animation', 'Action', 'Adventure']	6.7	14277	54	5518918
8379	Нападение помидоров-убийц	1978	83 min	83	['Adventure', 'Comedy', 'Horror']	4.6	14272	9	0
8380	Вышибала: Эпический замес	2017	18+	101	['Comedy', 'Sport']	5.8	14269	48	0
8381	Крутой поворот	2007	R	115	['Adventure', 'Comedy', 'Drama']	6.9	14268	53	183088
8382	I'm Gonna Git You Sucka	1988	88 min	88	['Action', 'Comedy', 'Crime']	6.6	14259	48	13030057
8383	Гангстер номер 1	2000	16+	103	['Crime', 'Drama', 'Thriller']	6.7	14257	60	30915
8384	Люс	2019	R	109	['Drama', 'Mystery', 'Thriller']	6.6	14252	72	1782181
8385	Скачи по высокогорью	1962	94 min	94	['Drama', 'Western']	7.4	14252	92	0
8386	Паранормальное явление: Ближайшая родня	2021	R	98	['Horror', 'Mystery', 'Thriller']	5.2	14246	37	0
8387	Скорость падения	1994	PG-13	102	['Action', 'Mystery', 'Romance']	5.5	14243	0	16478900
8388	Наши души по ночам	2017	103 min	103	['Drama', 'Romance']	6.9	14238	69	0
8389	Карамель	2007	PG	95	['Comedy', 'Drama', 'Romance']	7.1	14238	70	1060591
8390	Тигр и снег	2005	114 min	114	['Comedy', 'Drama', 'Romance']	7.0	14233	22	9047
8391	Летний шторм	2004	R	98	['Comedy', 'Drama', 'Romance']	7.3	14232	51	95016
8392	Армейские приключения	1994	PG	91	['Comedy', 'War']	4.9	14225	0	28864707
8393	Paint Your Wagon	1969	PG-13	164	['Comedy', 'Drama', 'Musical']	6.6	14219	50	31678778
8394	Ночь отдыха для мам	2014	PG	98	['Comedy']	5.3	14210	25	10429707
8395	Забыть и вспомнить	1995	R	96	['Comedy', 'Drama', 'Romance']	6.7	14207	75	704543
8396	Девушка из первой квартиры	2019	90 min	90	['Drama', 'Horror', 'Thriller']	5.8	14202	56	0
8397	Выпускной	2016	R	128	['Crime', 'Drama']	7.3	14202	84	175975
8398	Будущее	2016	PG-13	102	['Drama']	6.9	14201	88	282382
8399	Звёздный рубеж	2021	18+	88	['Action', 'Sci-Fi']	2.5	14199	9	0
8400	Скворец	2021	16+	102	['Comedy', 'Drama']	6.3	14182	31	0
8401	The French Lieutenant's Woman	1981	124 min	124	['Drama', 'Romance']	6.9	14181	64	22600000
8402	Расчет	2004	R	95	['Drama', 'Mystery', 'Thriller']	5.8	14181	60	5763875
8403	Джульетта и духи	1965	137 min	137	['Comedy', 'Drama', 'Fantasy']	7.5	14179	83	78550
8404	Убийства в Черри-Фолс	2000	16+	92	['Horror', 'Mystery', 'Thriller']	5.2	14175	0	0
8405	Стан Хельсинг	2009	16+	108	['Comedy', 'Fantasy', 'Horror']	3.5	14173	0	0
8406	Shyam Singha Roy	2021	155 min	155	['Drama', 'Romance']	7.7	14172	0	0
8407	Улыбки Летней Ночи	1955	109 min	109	['Comedy', 'Romance']	7.7	14170	0	0
8408	Реприза	2006	R	105	['Drama']	7.3	14169	79	548811
8409	Wildcats	1986	106 min	106	['Comedy', 'Sport']	6.0	14162	41	26285544
8410	Swing Time	1936	103 min	103	['Comedy', 'Musical', 'Romance']	7.5	14161	91	0
8411	С. Дарко	2009	R	103	['Drama', 'Mystery', 'Sci-Fi']	3.6	14159	0	0
