title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
100 девчонок и одна в лифтe,2000,94,"['Comedy', 'Romance']",5.8,23286,16+,0,0
Сама жизнь,2018,117,"['Drama', 'Romance']",6.9,23284,R,21,4102648
Chup,2022,135,"['Crime', 'Drama', 'Mystery']",7.6,23280,NaN,0,0
Quigley Down Under,1990,119,"['Action', 'Adventure', 'Drama']",6.9,23279,NaN,51,21413105
Этим утром в Нью-Йорке,2014,83,"['Comedy', 'Drama']",5.7,23274,R,21,0
Пропавшие девушки,2020,95,"['Crime', 'Drama', 'Mystery']",6.1,23270,R,67,0
Зеленые мясники,2003,100,"['Comedy', 'Drama']",7.2,23270,18+,54,2483
Тайна красной планеты,2011,88,"['Animation', 'Action', 'Adventure']",5.4,23258,0+,49,21379315
Mon oncle,1958,116,['Comedy'],7.7,23255,0+,0,0
Нирджа,2016,122,"['Biography', 'Drama', 'Thriller']",7.6,23255,NaN,0,1535234
Последние дни,2005,97,"['Drama', 'Music']",5.7,23247,16+,67,454711
Розенкранц и Гильденстерн мертвы,1990,117,"['Comedy', 'Drama']",7.3,23247,NaN,0,739104
Призраки: Лучшая участь,2015,104,"['Action', 'Drama', 'Thriller']",6.2,23244,R,47,0
Пришельцы на чердаке,2009,86,"['Adventure', 'Comedy', 'Family']",5.4,23242,6+,42,25200412
House of Games,1987,102,"['Crime', 'Thriller']",7.2,23238,NaN,78,2585639
Налетчики,2016,107,"['Action', 'Crime', 'Thriller']",5.5,23234,18+,42,0
6 дней,2017,94,"['Action', 'Drama', 'History']",6.2,23224,18+,36,0
Компаньоны,2006,105,"['Comedy', 'Drama', 'Music']",6.7,23224,PG-13,75,20342852
Матильда,2022,117,"['Comedy', 'Drama', 'Family']",7.1,23214,(Banned),72,0
Евангелион 2.22: Ты (не) пройдешь,2009,112,"['Animation', 'Action', 'Drama']",7.9,23210,16+,46,133640
Piranha,1978,94,"['Comedy', 'Horror', 'Sci-Fi']",5.9,23187,16+,71,6000000
Клёш,2021,123,"['Action', 'Thriller']",6.1,23185,NaN,0,0
Роди Ратор,2012,140,"['Action', 'Comedy', 'Crime']",5.8,23180,NaN,0,775981
Леди и Бродяга,2019,111,"['Adventure', 'Comedy', 'Family']",6.2,23177,PG,48,0
Система безопасности,1964,112,"['Drama', 'Thriller']",8.0,23176,NaN,75,0
Завтрак на Плутоне,2005,128,"['Comedy', 'Drama']",7.2,23175,16+,59,828699
Чeсть,2007,140,"['Action', 'Crime', 'Drama']",7.8,23171,NaN,0,0
Питер Пэн и Венди,2023,106,"['Action', 'Adventure', 'Comedy']",4.4,23170,PG,61,0
Июньский жук,2005,106,"['Comedy', 'Drama']",6.9,23165,R,80,2678691
Одноклассницы,2007,101,"['Comedy', 'Family']",5.8,23161,PG-13,39,0
Manon des sources,1986,113,['Drama'],8.0,23149,NaN,0,3940542
Пульс,2001,119,"['Horror', 'Mystery', 'Sci-Fi']",6.5,23140,16+,70,49046
Проклятый сезон,2002,118,"['Crime', 'Drama', 'Thriller']",6.6,23140,16+,57,9059588
Драконий жемчуг: Возрождение,2015,93,"['Animation', 'Action', 'Adventure']",7.2,23133,NaN,0,8008363
Ярмарка тщеславия,2004,141,['Drama'],6.2,23118,12+,53,16136476
Сон бабочки,2013,138,"['Biography', 'Drama', 'History']",7.7,23114,NaN,0,0
La guerre du feu,1981,100,"['Adventure', 'Drama']",7.3,23113,NaN,79,20959585
Максимальный риск,1996,101,"['Action', 'Thriller']",5.5,23110,R,0,14502483
Полицейская история 3: Суперполицейский,1992,96,"['Action', 'Comedy', 'Crime']",6.9,23108,R,0,16270600
Джиперс Криперс 3,2017,100,['Horror'],3.9,23099,18+,0,2235162
Джейн берёт ружьё,2015,98,"['Action', 'Drama', 'Western']",5.9,23099,R,49,1512815
Bad Day at Black Rock,1955,81,"['Crime', 'Drama', 'Mystery']",7.7,23098,NaN,0,0
Dügün Dernek,2013,106,['Comedy'],7.0,23094,NaN,0,0
Them!,1954,94,"['Horror', 'Sci-Fi']",7.2,23086,NaN,74,0
Нечего терять,2018,134,"['Biography', 'Drama']",2.3,23082,PG,0,1003497
24,2016,164,"['Action', 'Comedy', 'Drama']",7.9,23079,NaN,0,0
Вернуть Бена,2018,103,['Drama'],6.7,23078,18+,66,3703184
Трудный ребёнок 2,1991,90,"['Comedy', 'Family']",4.8,23074,0+,0,25104700
High Anxiety,1977,94,"['Comedy', 'Mystery', 'Thriller']",6.6,23068,NaN,55,31063038
Hamlet,1990,135,['Drama'],6.7,23061,NaN,53,20710451
Путешествие,2010,112,"['Comedy', 'Drama']",7.0,23056,NaN,0,2014922
Мерцающие огни,2000,109,"['Action', 'Comedy', 'Crime']",7.5,23050,16+,47,0
Оборотень,2020,85,"['Comedy', 'Horror', 'Mystery']",6.2,23040,R,67,0
Hud,1963,112,"['Drama', 'Western']",7.8,23037,NaN,62,10000000
Герой,1992,119,"['Comedy', 'Drama', 'Romance']",6.5,23037,PG-13,61,19507345
Покемон: Появление призрачного покемона Лугии,1999,84,"['Animation', 'Action', 'Adventure']",6.0,23024,0+,28,43758684
