title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Невидимка,2000,112,"['Action', 'Horror', 'Sci-Fi']",5.8,134568,18+,24,73209340
Шесть демонов Эмили Роуз,2005,119,"['Drama', 'Horror', 'Thriller']",6.7,134528,16+,46,75072454
StarПерцы,2013,105,"['Comedy', 'Drama']",6.6,134483,PG-13,48,63914167
Великолепная афера,2003,116,"['Comedy', 'Crime', 'Drama']",7.3,134435,PG-13,61,36906460
Монстры на каникулах 2,2015,89,"['Animation', 'Adventure', 'Comedy']",6.6,134391,6+,44,169700110
Мотылёк,1973,151,"['Biography', 'Crime', 'Drama']",8.0,134318,R,58,53267000
Грязная кампания за честные выборы,2012,85,['Comedy'],6.1,134298,R,50,86907746
All About Eve,1950,138,['Drama'],8.2,134246,NaN,98,10177
Человек на Луне,1999,118,"['Biography', 'Comedy', 'Drama']",7.4,134079,14+,58,34580635
Окулус,2013,104,"['Horror', 'Mystery', 'Thriller']",6.5,133885,16+,61,27695246
Кубо. Легенда о самурае,2016,101,"['Animation', 'Action', 'Adventure']",7.7,133864,6+,84,48023088
Босс-молокосос,2017,97,"['Animation', 'Adventure', 'Comedy']",6.3,133604,6+,50,175003033
Кот в сапогах 2: Последнее желание,2022,102,"['Animation', 'Adventure', 'Comedy']",7.9,133472,PG,73,168464485
Почти семнадцать,2016,104,"['Comedy', 'Drama']",7.3,133462,R,77,14431633
10 000 лет до н.э.,2008,109,"['Action', 'Adventure', 'Drama']",5.1,133433,PG-13,34,94784201
Эпидемия,1995,127,"['Action', 'Drama', 'Thriller']",6.6,133426,R,64,67823573
Ночь живых мертвецов,1968,96,"['Horror', 'Thriller']",7.8,133414,16+,89,89029
Дикая,2014,115,"['Adventure', 'Biography', 'Drama']",7.1,133138,18+,74,37880356
Профессионал,2011,116,"['Action', 'Crime', 'Thriller']",6.4,133039,R,44,25124986
Сомнение,2008,104,"['Drama', 'Mystery']",7.5,132984,16+,68,33422556
Восставший из ада,1987,94,"['Horror', 'Thriller']",6.9,132831,18+,56,14564027
16 кварталов,2006,102,"['Action', 'Drama', 'Thriller']",6.6,132811,12+,63,36895141
Робин Гуд,1973,83,"['Animation', 'Adventure', 'Comedy']",7.5,132779,NaN,57,32056467
Бедное сердце,2020,101,"['Comedy', 'Drama', 'Romance']",8.4,132685,NaN,0,0
Мой кузен Винни,1992,120,"['Comedy', 'Crime']",7.6,132603,R,68,52929168
Прорваться в НБА,2022,117,"['Comedy', 'Drama', 'Sport']",7.3,132578,R,68,0
Детки в порядке,2010,106,"['Comedy', 'Drama', 'Romance']",7.0,132464,18+,86,20811365
Плезантвиль,1998,124,"['Comedy', 'Drama', 'Fantasy']",7.5,132421,PG-13,71,40568025
Смывайся!,2006,85,"['Animation', 'Action', 'Adventure']",6.6,132418,0+,74,64665672
Эволюция,2001,101,"['Comedy', 'Sci-Fi']",6.1,132393,12+,40,38345494
Сириана,2005,128,"['Drama', 'Thriller']",6.9,132382,18+,76,50824620
Особо опасны,2012,131,"['Action', 'Crime', 'Drama']",6.4,132375,18+,59,47382068
X,2022,105,"['Horror', 'Mystery', 'Thriller']",6.6,132373,18+,79,0
Клаустрофобы,2019,99,"['Action', 'Adventure', 'Horror']",6.4,131758,16+,48,57005601
Воины света,2009,98,"['Action', 'Horror', 'Sci-Fi']",6.4,131758,16+,57,30101577
Прогулка,2015,123,"['Adventure', 'Biography', 'Drama']",7.3,131740,12+,70,10137502
Выкуп,1996,121,"['Action', 'Crime', 'Thriller']",6.7,131735,16+,60,136492681
Полицейская академия,1984,96,['Comedy'],6.7,131690,16+,41,81198894
Зелёная комната,2015,95,"['Crime', 'Drama', 'Horror']",7.0,131638,18+,79,3219029
Шанхайский полдень,2000,110,"['Action', 'Adventure', 'Comedy']",6.6,131367,12+,77,56937502
Антихрист,2009,108,"['Drama', 'Horror', 'Thriller']",6.5,131269,18+,49,397070
Близнецы,1988,107,"['Comedy', 'Crime']",6.1,131212,NaN,53,111936400
Робин Гуд: Мужчины в трико,1993,104,"['Adventure', 'Comedy', 'Musical']",6.7,131158,12+,44,35739755
Хроники хищных городов,2018,128,"['Action', 'Adventure', 'Fantasy']",6.1,131145,PG-13,44,15951040
Охотник за головами,2010,110,"['Action', 'Comedy', 'Romance']",5.5,131116,PG-13,22,67061228
Дж. Эдгар,2011,137,"['Biography', 'Drama', 'Romance']",6.5,131080,R,59,37306030
Хорошее время,2017,102,"['Crime', 'Drama', 'Thriller']",7.3,131039,18+,80,2026499
Медвежатник,2001,124,"['Action', 'Crime', 'Drama']",6.8,130946,16+,71,71069884
Что скрывает лoжь,2000,130,"['Drama', 'Horror', 'Mystery']",6.6,130805,16+,51,155464351
О Шмидте,2002,125,['Drama'],7.2,130776,12+,85,65016287
Эон Флакс,2005,93,"['Action', 'Adventure', 'Sci-Fi']",5.4,130764,PG-13,36,25857987
Чёрное зеркало: Брандашмыг,2018,90,"['Drama', 'Fantasy', 'Mystery']",7.1,130615,NaN,0,0
Дружинники,2012,102,"['Comedy', 'Sci-Fi']",5.7,130493,16+,36,35353000
Ангелы Чарли 2: Только вперёд,2003,106,"['Action', 'Adventure', 'Comedy']",4.9,130461,12+,48,100830111
Улыбка,2022,115,"['Horror', 'Mystery', 'Thriller']",6.5,130328,18+,68,0
Empire of the Sun,1987,153,"['Drama', 'War']",7.7,130242,12+,62,22238696
Бахубали,2015,159,"['Action', 'Drama']",8.0,130170,NaN,0,6738000
Очень плохие мамочки,2016,100,['Comedy'],6.2,130103,18+,60,113257297
Мистер Бин на отдыхе,2007,90,"['Comedy', 'Family']",6.4,129806,6+,56,33302167
Свидетель обвинения,1957,116,"['Crime', 'Drama', 'Mystery']",8.4,129786,NaN,76,8175000
Резня,2011,80,"['Comedy', 'Drama']",7.1,129737,14+,61,2547047
Бэйб: Четвероногий малыш,1995,91,"['Comedy', 'Drama', 'Family']",6.9,129726,0+,83,66600000
Анастасия,1997,94,"['Animation', 'Adventure', 'Drama']",7.1,129596,0+,61,58406347
Малыш,1921,68,"['Comedy', 'Drama', 'Family']",8.3,129514,NaN,0,5450000
Ран,1985,162,"['Action', 'Drama', 'War']",8.2,129458,NaN,97,4135750
Чужие против Хищника: Реквием,2007,94,"['Action', 'Adventure', 'Horror']",4.6,129420,16+,29,41797066
Покидая Лас-Вегас,1995,111,"['Drama', 'Romance']",7.5,129281,18+,82,31968347
Я - начало,2014,106,"['Drama', 'Mystery', 'Romance']",7.3,129185,16+,57,334658
Дом восковых фигур,2005,113,"['Horror', 'Thriller']",5.4,129129,16+,41,32064800
Королевство,2007,110,"['Action', 'Drama', 'Thriller']",7.0,128997,18+,56,47536778
Подземелья и драконы: Честь среди воров,2023,134,"['Action', 'Adventure', 'Comedy']",7.3,128963,PG-13,72,0
Пила 5,2008,92,"['Horror', 'Thriller']",5.8,128961,18+,20,56746769
Звездный путь: Первый контакт,1996,111,"['Action', 'Adventure', 'Drama']",7.6,128937,PG-13,71,92001027
Ночь в музее: Секрет гробницы,2014,98,"['Adventure', 'Comedy', 'Family']",6.2,128930,6+,47,113746621
Факультет,1998,104,"['Horror', 'Mystery', 'Sci-Fi']",6.6,128832,16+,61,40064955
Т2 Трейнспоттинг (На игле 2),2017,117,"['Comedy', 'Drama']",7.2,128616,18+,67,2402004
Дом-монстр,2006,91,"['Animation', 'Comedy', 'Family']",6.6,128563,12+,68,73661010
Тайна 7 сестёр,2017,123,"['Action', 'Crime', 'Fantasy']",6.8,128517,16+,47,0
Человек - швейцарский нож,2016,97,"['Comedy', 'Drama', 'Fantasy']",6.9,128504,R,64,4208879
Дедушка легкого поведения,2016,102,['Comedy'],5.9,128418,18+,21,35593113
Эрагон,2006,104,"['Action', 'Adventure', 'Family']",5.1,128379,12+,38,75030163
Серпико,1973,130,"['Biography', 'Crime', 'Drama']",7.7,128375,16+,81,29800000
Безбрачная неделя,2011,105,"['Comedy', 'Romance']",5.9,128368,16+,45,45060734
Папы,2019,125,"['Biography', 'Comedy', 'Drama']",7.6,128327,PG-13,75,0
13-й вoин,1999,102,"['Action', 'Adventure', 'History']",6.6,128283,R,42,32698899
Макс Пэйн,2008,100,"['Action', 'Crime', 'Drama']",5.3,128200,16+,31,40689393
The Treasure of the Sierra Madre,1948,126,"['Adventure', 'Drama', 'Western']",8.2,128112,NaN,98,5014000
Лакричная пицца,2021,133,"['Comedy', 'Drama', 'Romance']",7.2,128080,18+,90,0
Ночной рейс,2005,85,['Thriller'],6.5,127999,PG-13,71,57891803
Безопасность не гарантируется,2012,86,"['Adventure', 'Comedy', 'Drama']",6.9,127887,R,72,4010957
The French Connection,1971,104,"['Action', 'Crime', 'Drama']",7.7,127862,16+,94,15630710
Двойная рокировка,2002,101,"['Action', 'Crime', 'Drama']",8.0,127789,12+,75,169659
"Дивергент, глава 3: За стеной",2016,120,"['Action', 'Adventure', 'Mystery']",5.7,127737,12+,33,66184051
Нимфоманка: Часть 1,2013,117,['Drama'],6.9,127724,18+,64,785896
Рейд 2,2014,150,"['Action', 'Crime', 'Thriller']",7.9,127322,18+,71,2627209
Машина времени,2002,96,"['Action', 'Adventure', 'Sci-Fi']",6.0,127168,12+,42,56684819
Путешествие к центру Земли,2008,93,"['Action', 'Adventure', 'Family']",5.8,127124,0+,57,101704370
Вторжение динозавра,2006,120,"['Drama', 'Horror', 'Sci-Fi']",7.1,127124,16+,85,2201923
Фото за час,2002,96,"['Drama', 'Thriller']",6.8,127089,16+,64,31597131
Демон внутри,2016,86,"['Horror', 'Mystery', 'Thriller']",6.8,126992,R,65,10474
Willow,1988,126,"['Action', 'Adventure', 'Drama']",7.2,126990,NaN,47,57269863
Австралия,2008,165,"['Adventure', 'Drama', 'Romance']",6.6,126973,12+,53,49554002
Небоскрёб,2018,102,"['Action', 'Adventure', 'Thriller']",5.8,126944,PG-13,51,68420120
Окча,2017,120,"['Action', 'Adventure', 'Drama']",7.3,126843,NaN,75,0
Соседи. На тропе войны 2,2016,92,['Comedy'],5.7,126650,R,58,55455765
Призрак оперы,2004,143,"['Drama', 'Musical', 'Romance']",7.2,126625,12+,40,51268815
Атлантида: Затерянный мир,2001,95,"['Animation', 'Action', 'Adventure']",6.9,126590,12+,52,84052762
Слёзы солнца,2003,121,"['Action', 'Drama', 'Thriller']",6.6,126528,16+,48,43734876
Шеф Адам Джонс,2015,101,"['Comedy', 'Drama']",6.6,126368,R,42,13650738
Тревожный вызов,2013,96,"['Drama', 'Thriller']",6.7,126337,R,51,51872378
Флаги наших отцов,2006,135,"['Action', 'Adventure', 'Drama']",7.1,126292,16+,79,33602376
Мечтатели,2003,115,"['Drama', 'Romance']",7.1,126250,18+,62,2531462
Телохранитель,1961,110,"['Action', 'Drama', 'Thriller']",8.2,126050,NaN,93,0
Паркер,2013,118,"['Action', 'Crime', 'Thriller']",6.2,125992,16+,42,17616641
Хэллоуин 2007,2007,109,['Horror'],6.0,125946,18+,47,58272029
Если я останусь,2014,107,"['Drama', 'Fantasy', 'Music']",6.7,125932,PG-13,46,50474843
И твою маму тоже,2001,106,['Drama'],7.7,125810,18+,89,13622333
Тусовщики из супермаркета,1995,94,"['Comedy', 'Romance']",7.0,125800,14+,41,2122561
Поворот не туда,2003,84,"['Horror', 'Thriller']",6.1,125776,16+,32,15417771
Зверинец,1978,109,['Comedy'],7.4,125467,NaN,79,0
Barton Fink,1991,116,"['Comedy', 'Drama', 'Thriller']",7.6,125466,16+,69,6153939
Любовь по правилам и без,2003,128,"['Comedy', 'Drama', 'Romance']",6.7,125384,PG-13,66,124728738
Star Trek II: The Wrath of Khan,1982,113,"['Action', 'Adventure', 'Sci-Fi']",7.7,125367,PG,68,78912963
Планета сокровищ,2002,95,"['Animation', 'Adventure', 'Family']",7.2,125357,0+,60,38176783
Tron,1982,96,"['Action', 'Adventure', 'Sci-Fi']",6.7,125270,NaN,58,33000000
Безумцы,2010,101,"['Horror', 'Thriller']",6.5,125243,18+,56,39123589
Очень страшное кино 4,2006,83,['Comedy'],5.1,125231,16+,40,90710620
Шестой день,2000,123,"['Action', 'Mystery', 'Sci-Fi']",5.9,125217,16+,49,34604280
Это - Англия!,2006,101,"['Crime', 'Drama']",7.7,125169,NaN,86,327919
Дикость,1998,108,"['Crime', 'Drama', 'Mystery']",6.6,125134,16+,52,29753944
Санта Клаус,1994,97,"['Comedy', 'Drama', 'Family']",6.5,125069,6+,57,144833357
Невыносимая тяжесть огромного таланта,2022,107,"['Action', 'Comedy', 'Crime']",7.0,125051,16+,68,0
Заклятие 3: По воле дьявола,2021,112,"['Horror', 'Mystery', 'Thriller']",6.3,124956,18+,53,65631050
Shershaah,2021,135,"['Action', 'Biography', 'Drama']",8.3,124947,NaN,0,0
Образование,2019,102,['Comedy'],7.1,124749,R,84,22680962
Контрабанда,2012,109,"['Action', 'Adventure', 'Crime']",6.4,124695,16+,51,66528000
Beverly Hills Cop II,1987,100,"['Action', 'Comedy', 'Crime']",6.5,124656,0+,48,153665000
The Omen,1976,111,"['Horror', 'Mystery']",7.5,124580,18+,62,4273886
Впусти меня. Сага,2010,116,"['Drama', 'Fantasy', 'Horror']",7.1,124521,16+,79,12134420
Девять ярдов,2000,98,"['Comedy', 'Crime']",6.7,124500,NaN,47,57262492
Прогулка среди могил,2014,114,"['Action', 'Crime', 'Drama']",6.5,124480,16+,57,26307600
Последний рубеж,2013,100,"['Action', 'Crime', 'Thriller']",6.5,124431,R,40,20158492
Джули и Джулия: Готовим счастье по рецепту,2009,123,"['Biography', 'Drama', 'Romance']",7.0,124418,12+,66,94125426
Секс в большом городе,2008,145,"['Comedy', 'Drama', 'Romance']",5.7,124414,16+,53,152647258
Смерть ей к лицу,1992,104,"['Comedy', 'Fantasy', 'Horror']",6.6,124397,12+,56,58422650
Dawn of the Dead,1978,127,"['Horror', 'Thriller']",7.8,124342,NaN,71,5100000
"Здравствуй, папа, Новый год!",2015,96,"['Comedy', 'Family']",6.2,124336,12+,42,150357137
Гренландия,2020,119,"['Action', 'Thriller']",6.4,124190,16+,64,0
Город ангелов,1998,114,"['Drama', 'Fantasy', 'Romance']",6.7,124189,PG-13,54,78685114
Братья Гримм,2005,118,"['Action', 'Adventure', 'Comedy']",5.9,123924,12+,51,37916267
Приключения Паддингтона,2014,95,"['Adventure', 'Comedy', 'Family']",7.3,123920,6+,77,76271832
Персона,1966,85,"['Drama', 'Thriller']",8.1,123868,NaN,86,0
Призрачный мир,2001,111,"['Comedy', 'Drama']",7.3,123624,R,90,6217849
Лучшее предложение,2013,131,"['Crime', 'Drama', 'Mystery']",7.8,123560,16+,49,85433
Тебя никогда здесь не было,2017,89,"['Crime', 'Drama']",6.7,123236,18+,84,2523610
Жизнь Дэвида Гейла,2003,130,"['Crime', 'Drama', 'Thriller']",7.5,123173,18+,31,19593740
Одарённая,2017,101,['Drama'],7.6,123058,PG-13,60,24801212
Field of Dreams,1989,107,"['Drama', 'Family', 'Fantasy']",7.5,123051,12+,57,64431625
Каждое Воскресенье,1999,162,"['Drama', 'Sport']",6.9,123033,R,52,75530832
Фредди против Джейсона,2003,97,"['Action', 'Horror']",5.7,122981,18+,37,82622655
Призрачный гонщик 2,2011,96,"['Action', 'Adventure', 'Fantasy']",4.3,122898,12+,34,51774002
Король Ричард,2021,144,"['Biography', 'Drama', 'Sport']",7.5,122789,12+,76,0
Thunderball,1965,130,"['Action', 'Adventure', 'Thriller']",6.9,122610,PG,64,63600000
The Meaning of Life,1983,107,"['Comedy', 'Musical']",7.5,122587,16+,72,14929552
Шаг вперед,2006,104,"['Crime', 'Drama', 'Music']",6.5,122545,12+,48,65328121
День святого Валентина,2010,125,"['Comedy', 'Romance']",5.7,122534,PG-13,34,110485654
Женщина-кошка,2004,104,"['Action', 'Crime', 'Fantasy']",3.4,122533,12+,27,40202379
Просто друзья,2005,96,"['Comedy', 'Romance']",6.2,122512,12+,47,32619671
Рождественская история,2009,96,"['Animation', 'Adventure', 'Comedy']",6.8,122499,12+,55,137855863
Caddyshack,1980,98,"['Comedy', 'Sport']",7.2,122466,16+,48,39846344
Четыреста ударов,1959,99,"['Crime', 'Drama']",8.1,122342,NaN,0,0
Посвящённый,2014,97,"['Drama', 'Romance', 'Sci-Fi']",6.4,122229,12+,47,45089048
Любовь с уведомлением,2002,101,"['Comedy', 'Romance']",6.1,122094,12+,42,93354851
Дети Шпионов,2001,88,"['Action', 'Adventure', 'Comedy']",5.6,121960,6+,71,112719001
Пастырь,2011,87,"['Action', 'Fantasy', 'Horror']",5.7,121927,PG-13,41,29136626
Война Чарли Уилсона,2007,102,"['Biography', 'Comedy', 'Drama']",7.0,121914,16+,67,66661095
Треугольник,2009,99,"['Fantasy', 'Mystery', 'Sci-Fi']",6.9,121870,16+,0,0
Перси Джексон и Море чудовищ,2013,106,"['Adventure', 'Family', 'Fantasy']",5.7,121584,6+,39,68559554
Тихоокеанский рубеж 2,2018,111,"['Action', 'Adventure', 'Fantasy']",5.6,121499,PG-13,44,59874525
Лоракс,2012,86,"['Animation', 'Adventure', 'Comedy']",6.4,121449,0+,46,214030500
Голова-ластик,1977,89,"['Fantasy', 'Horror']",7.3,121443,18+,87,7000000
Заплати другому,2000,123,['Drama'],7.2,121432,PG-13,40,33519628
Один дома 3,1997,102,"['Action', 'Comedy', 'Crime']",4.5,121429,0+,0,30882515
Судья Дредд,1995,96,"['Action', 'Crime', 'Sci-Fi']",5.6,121416,R,0,34693481
Приколисты,2009,146,"['Comedy', 'Drama']",6.3,121368,16+,60,51855045
Боги Египта,2016,127,"['Action', 'Adventure', 'Drama']",5.4,121271,12+,25,31153464
Восемь с половиной,1963,138,['Drama'],8.0,121270,12+,93,50690
Смертельная битва,1995,101,"['Action', 'Adventure', 'Fantasy']",5.8,121195,12+,60,70454098
Двухсотлетний человек,1999,132,"['Drama', 'Sci-Fi']",6.9,121055,0+,42,58220776
Хороший динозавр,2015,93,"['Animation', 'Adventure', 'Comedy']",6.7,121044,12+,66,123087120
Реальные кабаны,2007,100,"['Action', 'Adventure', 'Comedy']",5.8,120981,PG-13,27,168273550
Военный ныряльщик,2000,129,"['Biography', 'Drama']",7.2,120974,12+,56,48818921
Шестнадцать свечей,1984,93,"['Comedy', 'Romance']",7.0,120892,16+,61,23686027
Из пекла,2013,116,"['Action', 'Crime', 'Drama']",6.7,120693,R,63,11326836
Шакал,1997,124,"['Action', 'Crime', 'Drama']",6.4,120679,R,36,54930280
Чoкнутый профессор,1996,95,"['Comedy', 'Romance', 'Sci-Fi']",5.7,120569,0+,62,128814019
Цена страха,2002,124,"['Action', 'Drama', 'Thriller']",6.4,120565,16+,45,118907036
Цвет шафрана,2006,167,"['Comedy', 'Crime', 'Drama']",8.1,120533,NaN,0,2197331
Пункт назначения 5,2011,92,"['Horror', 'Thriller']",5.9,120488,16+,50,42587643
Скандал,2019,109,"['Biography', 'Drama']",6.8,120466,18+,64,0
Вавилон,2022,189,"['Comedy', 'Drama', 'History']",7.2,120431,R,60,0
Проект 'Флорида',2017,111,['Drama'],7.6,120402,18+,92,5904366
All the President's Men,1976,138,"['Drama', 'History', 'Thriller']",7.9,120383,NaN,84,70600000
Небраска,2013,115,['Drama'],7.7,120382,16+,86,17654912
Полиция Майами. Отдел нравов,2006,132,"['Action', 'Adventure', 'Crime']",6.0,120381,18+,66,63450470
Западня,1999,113,"['Action', 'Crime', 'Romance']",6.3,120374,PG-13,54,87704396
Разум и чувства,1995,136,"['Drama', 'Romance']",7.7,120339,0+,84,43182776
Охота,2020,90,"['Action', 'Horror', 'Thriller']",6.5,120315,R,50,5812500
Экзамен,2009,101,"['Crime', 'Horror', 'Mystery']",6.8,120248,16+,0,0
Малавита,2013,111,"['Comedy', 'Crime', 'Thriller']",6.3,119943,R,42,36918811
Пассажир,2018,104,"['Action', 'Mystery', 'Thriller']",6.3,119819,PG-13,56,36343858
Хвала храбрецам,2020,153,"['Action', 'Drama']",8.7,119615,NaN,0,0
"С любовью, Саймон",2018,110,"['Comedy', 'Drama']",7.5,119602,16+,72,40826341
Крысиные бега,2001,112,"['Action', 'Adventure', 'Comedy']",6.4,119541,0+,52,56618055
Из Парижа с любовью,2010,92,"['Action', 'Crime', 'Thriller']",6.4,119431,R,42,23979741
Путь домой,2010,133,"['Adventure', 'Drama', 'History']",7.3,119351,PG-13,66,2701859
Скуби-Ду,2002,89,"['Adventure', 'Comedy', 'Family']",5.2,119019,12+,35,153288182
Ключ от всех дверей,2005,104,"['Drama', 'Horror', 'Mystery']",6.5,118942,PG-13,47,47806295
Однажды,2007,86,"['Drama', 'Music', 'Romance']",7.8,118871,16+,90,9439923
Пятница,1995,91,"['Comedy', 'Drama']",7.2,118792,12+,54,27467564
Совместная поездка,2014,99,"['Action', 'Comedy', 'Crime']",6.1,118597,PG-13,41,134938200
Иностранец,2017,113,"['Action', 'Thriller']",7.0,118584,18+,55,34393507
Почему он?,2016,111,['Comedy'],6.2,118546,R,39,60323786
Воды слонам!,2011,122,"['Drama', 'Romance']",6.9,118449,PG-13,52,58709717
Смерть на похоронах,2007,90,['Comedy'],7.3,118439,R,67,8579684
Стильная штучка,2002,108,"['Comedy', 'Romance']",6.2,118219,16+,45,127223418
Целитель Адамс,1998,115,"['Biography', 'Comedy', 'Drama']",6.8,118199,PG-13,25,135026902
Бар «Гадкий койот»,2000,100,"['Comedy', 'Drama', 'Music']",5.7,118060,16+,27,60786269
Охота на воров,2018,140,"['Action', 'Crime', 'Drama']",7.0,117924,18+,49,44947622
Багровый прилив,1995,116,"['Action', 'Drama', 'Thriller']",7.3,117837,R,66,91400000
Мистер Смит едет в Вашингтон,1939,129,"['Comedy', 'Drama']",8.1,117751,12+,73,9600000
West Side Story,1961,153,"['Crime', 'Drama', 'Musical']",7.6,117603,12+,86,43656822
Дворецкий,2013,132,"['Biography', 'Drama']",7.2,117554,PG-13,65,116632095
The Naked Gun 2½: The Smell of Fear,1991,85,"['Comedy', 'Crime']",6.9,117480,12+,65,86930411
Бриджит Джонс: Грани разумного,2004,108,"['Comedy', 'Drama', 'Romance']",6.0,117344,16+,44,40226215
Лагаан: Однажды в Индии,2001,224,"['Drama', 'Musical', 'Sport']",8.1,117055,16+,84,70147
Игра Джеральда,2017,103,"['Drama', 'Horror', 'Thriller']",6.5,116976,NaN,77,0
Молчание,2016,161,"['Drama', 'History']",7.1,116952,18+,79,7100177
Интуиция,2001,90,"['Comedy', 'Romance']",6.8,116919,12+,52,50294317
Ищу друга на конец света,2012,101,"['Adventure', 'Comedy', 'Drama']",6.7,116893,R,59,6619173
Гостья,2013,125,"['Action', 'Adventure', 'Drama']",5.8,116870,PG-13,35,26627201
Братец медвежонок,2003,85,"['Animation', 'Adventure', 'Comedy']",6.8,116863,0+,48,85336277
Гемини,2019,117,"['Action', 'Sci-Fi', 'Thriller']",5.7,116861,12+,38,48546770
Короли улиц,2008,109,"['Action', 'Crime', 'Thriller']",6.8,116777,16+,55,26418667
Каникулы,2015,99,"['Adventure', 'Comedy']",6.1,116748,18+,34,58884188
Бонни и Клайд,1967,111,"['Action', 'Biography', 'Crime']",7.7,116679,R,86,0
Пиджак,2005,103,"['Drama', 'Fantasy', 'Mystery']",7.1,116596,16+,44,6303762
Ещё одна из рода Болейн,2008,115,"['Biography', 'Drama', 'History']",6.7,116444,PG-13,50,26814957
Митчеллы против машин,2021,114,"['Animation', 'Adventure', 'Comedy']",7.6,116424,18+,81,0
Пила 6,2009,90,"['Horror', 'Mystery', 'Thriller']",6.0,116381,18+,30,27693292
Срочная доставка,2012,91,"['Action', 'Crime', 'Thriller']",6.5,116318,PG-13,66,20275446
Игры патриотов,1992,117,"['Action', 'Thriller']",6.8,116305,16+,64,83287363
Doom,2005,105,"['Action', 'Horror', 'Sci-Fi']",5.2,116154,16+,34,28212337
Готика,2003,98,"['Horror', 'Mystery', 'Thriller']",5.8,116060,18+,38,59694580
The Conversation,1974,113,"['Drama', 'Mystery', 'Thriller']",7.8,116023,16+,87,4420000
Транс,2013,101,"['Crime', 'Drama', 'Mystery']",6.9,115979,18+,61,2319187
Дневник баскетболиста,1995,102,"['Biography', 'Crime', 'Drama']",7.3,115976,18+,46,2424439
"Не беспокойся, дорогая",2022,123,"['Drama', 'Thriller']",6.3,115960,R,48,0
Знакомство с Факерами 2,2010,98,"['Comedy', 'Romance']",5.5,115806,PG-13,27,148383780
Короче,2017,135,"['Drama', 'Fantasy', 'Sci-Fi']",5.8,115686,18+,63,24449754
Мария Антуанетта,2006,123,"['Biography', 'Drama', 'History']",6.5,115653,PG-13,65,15962471
Та ещё парочка,2019,125,"['Comedy', 'Romance']",6.8,115358,18+,67,30316271
Мэверик,1994,127,"['Action', 'Adventure', 'Comedy']",7.0,115288,16+,62,101631272
"Всем парням, которых я любила раньше",2018,99,"['Comedy', 'Drama', 'Romance']",7.0,115237,NaN,64,0
Их собственная лига,1992,128,"['Comedy', 'Drama', 'Sport']",7.3,115198,PG,69,107533928
Полуночный ковбой,1969,113,['Drama'],7.8,115180,12+,79,44785053
Только Бог простит,2013,90,"['Action', 'Crime', 'Drama']",5.7,115177,18+,37,778565
Домашнее видео,2014,94,"['Comedy', 'Romance']",5.1,115114,18+,36,38543473
Алиса в Зазеркалье,2016,113,"['Adventure', 'Family', 'Fantasy']",6.2,115091,12+,34,77042381
Стиратель,1996,115,"['Action', 'Crime', 'Thriller']",6.2,115086,16+,56,101295562
Одинокий мужчина,2009,99,"['Crime', 'Drama', 'Romance']",7.5,115065,16+,77,9166863
Поговори с ней,2002,112,"['Drama', 'Mystery', 'Romance']",7.9,115039,16+,86,9357911
Ужас Амитивилля,2005,90,['Horror'],5.9,114573,16+,33,65233369
Помутнение,2006,100,"['Animation', 'Comedy', 'Crime']",7.0,114527,16+,73,5501616
Базз Лайтер,2022,105,"['Animation', 'Action', 'Adventure']",6.1,114495,6+,60,118307188
Deliverance,1972,109,"['Adventure', 'Drama', 'Thriller']",7.7,114494,12+,80,7056013
Запределье,2006,117,"['Adventure', 'Drama', 'Fantasy']",7.8,114393,12+,64,2280348
Дом летающих кинжалов,2004,119,"['Action', 'Adventure', 'Drama']",7.5,114381,0+,89,11050094
Белоснежка и охотник 2,2016,114,"['Action', 'Adventure', 'Drama']",6.1,114372,12+,35,48390190
Каникулы,1983,98,"['Adventure', 'Comedy']",7.3,114294,0+,55,61400000
Семьянин,2000,125,"['Comedy', 'Drama', 'Fantasy']",6.8,114241,0+,42,75793305
101 далматинец,1996,103,"['Adventure', 'Comedy', 'Crime']",5.7,114219,0+,49,136189294
Между небом и землёй,2005,95,"['Comedy', 'Drama', 'Fantasy']",6.7,114184,12+,47,48318130
Приглашение,2015,100,"['Drama', 'Horror', 'Mystery']",6.6,114162,NaN,74,231703
The Gold Rush,1925,95,"['Adventure', 'Comedy', 'Drama']",8.1,114055,NaN,0,5450000
Красная шапочка,2011,100,"['Fantasy', 'Horror', 'Mystery']",5.4,113990,14+,29,37662162
Королева,2006,103,"['Biography', 'Drama']",7.3,113880,12+,91,56441711
Непрощённая,2021,112,"['Crime', 'Drama']",7.1,113867,NaN,41,0
Driving Miss Daisy,1989,99,"['Comedy', 'Drama', 'Romance']",7.3,113817,12+,81,106593296
Рок-волна,2009,135,"['Comedy', 'Drama', 'Music']",7.3,113795,16+,58,7994115
Как малые дети,2006,137,"['Drama', 'Romance']",7.5,113769,16+,75,5463019
Шопо-коп,2009,91,"['Action', 'Comedy', 'Crime']",5.2,113742,12+,39,20819129
Помпеи,2014,105,"['Action', 'Adventure', 'Drama']",5.5,113721,12+,39,23219748
Пятое измерение,2009,111,"['Action', 'Sci-Fi', 'Thriller']",6.1,113681,PG-13,36,31806100
Конец света,1999,122,"['Action', 'Fantasy', 'Horror']",5.8,113670,18+,33,66889043
Защитник,2012,94,"['Action', 'Crime', 'Thriller']",6.5,113627,16+,55,17142080
