title,year,country,director,actor_1,actor_2,ratingKP
Благословите женщину,2003,Россия,Станислав Говорухин,Светлана Ходченкова,Александр Балуев,7.836
Убрать перископ,1996,США,Дэвид С. Уорд,Келси Грэммер,Лорен Холли,7.433
Мученицы,2008,Франция,Паскаль Ложье,Морьяна Алауи,Милен Джампаной,6.433
Дыши ради нас,2017,Великобритания,Энди Серкис,Эндрю Гарфилд,Клэр Фой,7.703
Король вечеринок,2001,Германия,Уолт Бекер,Райан Рейнольдс,Тара Рид,7.003
Скалолаз,1993,США,Ренни Харлин,Сильвестр Сталлоне,Джон Литгоу,7.281
Кудряшка Сью,1991,США,Джон Хьюз,Элисан Портер,Джеймс Белуши,7.628
Саранча,2013,Россия,Егор Баранов,Пётр Фёдоров,Паулина Андреева,6.446
Код Красный,2018,Великобритания,Тревор Нанн,Джуди Денч,Софи Куксон,7.343
Киллер-хранитель,2022,Корея,Чхве Джэ-хун,Чан Хёк,Ли Со-ён,7.204
Страна ОЗ,2015,Россия,Василий Сигарев,Яна Троянова,Гоша Куценко,6.585
27 свадеб,2008,США,Энн Флетчер,Кэтрин Хайгл,Джеймс Марсден,6.911
Начни сначала,2018,США,Питер Сигал,Дженнифер Лопес,Ванесса Энн Хадженс,6.26
Мэри Поппинс возвращается,2018,США,Роб Маршалл,Эмили Блант,Лин-Мануэль Миранда,6.728
Опустевший город,2007,США,Майк Байндер,Адам Сэндлер,Дон Чидл,7.634
Тот ещё Карлосон!,2012,Россия,Сарик Андреасян,Михаил Галустян,Федор Смирнов,2.618
Адамовы яблоки,2005,Дания,Андерс Томас Йенсен,Ульрих Томсен,Мадс Миккельсен,7.651
Улыбка Моны Лизы,2003,США,Майк Ньюэлл,Джулия Робертс,Кирстен Данст,7.679
Столкновение с бездной,1998,США,Мими Ледер,Роберт Дювалл,Теа Леони,7.053
Муха,1986,США,Дэвид Кроненберг,Джефф Голдблюм,Джина Дэвис,7.342
Реальные кабаны,2007,США,Уолт Бекер,Тим Аллен,Джон Траволта,6.596
Игра в прятки,2005,Германия,Джон Полсон,Роберт Де Ниро,Дакота Фаннинг,7.053
Переговорщик,1998,Германия,Ф. Гэри Грей,Сэмюэл Л. Джексон,Кевин Спейси,7.815
Сердце из стали,2017,Китай,Чжан Лицзя,Джеки Чан,Шоу Ло,5.9
