title,year,country,director,actor_1,actor_2,ratingKP
Эйфель,2021,Франция,Мартин Бурбулон,Ромен Дюрис,Эмма Маки,7.074
Горец,1986,Великобритания,Рассел Малкэй,Кристофер Ламберт,Роксанна Харт,7.421
Звезда,2002,Россия,Николай Лебедев,Игорь Петренко,Алексей Панин,7.783
Даун Хаус,2001,Россия,Роман Качанов,Фёдор Бондарчук,Иван Охлобыстин,7.316
"Девушка, которая боялась дождя",2020,США,Кастиль Лэндон,Мэдисон Айсмен,Израэль Бруссар,6.659
Осень в Нью-Йорке,2000,США,Джоан Чэнь,Ричард Гир,Вайнона Райдер,7.379
Тебя никогда здесь не было,2017,Великобритания,Линн Рэмси,Хоакин Феникс,Екатерина Самсонова,6.551
Семейка Тененбаум,2001,США,Уэс Андерсон,Джин Хэкмен,Анжелика Хьюстон,7.415
Касабланка,1942,США,Майкл Кёртиц,Хамфри Богарт,Ингрид Бергман,8.025
Чокнутый профессор,1996,США,Том Шэдьяк,Эдди Мерфи,Джада Пинкетт Смит,6.539
Моя ужасная няня 2,2010,Великобритания,Сюзанна Уайт,Эмма Томпсон,Мэгги Джилленхол,6.362
