title,country,director,actor_1,actor_2,ratingKP
Игры разумов,США,Фарад Сафиниа,Мэл Гибсон,Шон Пенн,7.336
После. Глава 2,США,Роджер Камбл,Джозефин Лэнгфорд,Хиро Файнс Тиффин,5.839
Легенды «Орлёнка»,Россия,Ольга Беляева,Елизавета Арзамасова,Алена Долголенко,7.5
Парк Юрского периода 2: Затерянный мир,США,Стивен Спилберг,Джефф Голдблюм,Джулианна Мур,7.036
Аферисты Дик и Джейн,США,Дин Паризо,Джим Керри,Теа Леони,7.028
Из 13 в 30,США,Гари Виник,Дженнифер Гарнер,Марк Руффало,6.87
Чумовая пятница,США,Марк Уотерс,Джейми Ли Кёртис,Линдси Лохан,7.007
Убежище,США,Монс Морлинд,Джулианна Мур,Джонатан Риз Майерс,6.826
Мирный воин,США,Виктор Сальва,Скотт Мехловиц,Ник Нолти,7.799
G.I. Joe: Бросок кобры 2,США,Джон М. Чу,Дуэйн Джонсон,Эдрианн Палики,5.785
Тронутые,США,Грен Уэллс,Роберт Шиэн,Дев Патель,7.143
Леди Бёрд,США,Грета Гервиг,Сирша Ронан,Лори Меткаф,7.01
Кочегар,Россия,Алексей Балабанов,Михаил Скрябин,Юрий Матвеев,6.664
Война Богов: Бессмертные,США,Тарсем Сингх,Генри Кавилл,Микки Рурк,5.84
Джули и Джулия: Готовим счастье по рецепту,США,Нора Эфрон,Мэрил Стрип,Эми Адамс,7.624
Тупой и еще тупее 2,США,Питер Фаррелли,Джим Керри,Джефф Дэниелс,5.736
Хроника,США,Джош Транк,Дэйн ДеХаан,Алекс Расселл,6.682
"Мэри Поппинс, до свидания  (ТВ)",СССР,Леонид Квинихидзе,Наталья Андрейченко,Филипп Рукавишников,8.065
Ковбои против пришельцев,США,Джон Фавро,Дэниэл Крэйг,Харрисон Форд,5.93
Лето. Одноклассники. Любовь,США,Лиза Азуэлос,Майли Сайрус,Деми Мур,5.951
Поворот не туда,Германия,Роб Шмидт,Десмонд Хэррингтон,Элиза Душку,6.691
Параллельные миры,Канада,Хуан Диего Соланас,Кирстен Данст,Джим Стёрджесс,6.445
Каникулы,США,Джон Фрэнсис Дейли,Эд Хелмс,Кристина Эпплгейт,6.461
Три икса: Мировое господство,Китай,Ди Джей Карузо,Вин Дизель,Донни Йен,5.315
Эффект колибри,Великобритания,Стивен Найт,Джейсон Стэйтем,Агата Бузек,6.308
Идиократия,США,Майк Джадж,Люк Уилсон,Майя Рудольф,6.61
Стыд,Великобритания,Стив МакКуин,Майкл Фассбендер,Кэри Маллиган,6.602
Вий 3D,Россия,Олег Степченко,Джейсон Флеминг,Андрей Смоляков,5.654
Мисс Конгениальность,США,Дональд Питри,Сандра Буллок,Майкл Кейн,7.084
Убийство священного оленя,Ирландия,Йоргос Лантимос,Колин Фаррелл,Николь Кидман,6.787
Рестлер,США,Даррен Аронофски,Микки Рурк,Мариса Томей,7.53
Несломленный,США,Анджелина Джоли,Джек О’Коннелл,Донал Глисон,7.368
Другой мир: Восстание ликанов,США,Патрик Татопулос,Майкл Шин,Билл Найи,6.837
Отчаянный,США,Роберт Родригес,Антонио Бандерас,Сальма Хайек,7.678
Удовольствие,Швеция,Нинья Тюберг,София Каппель,Зельда Моррисон,5.562
Комната желаний,Франция,Кристиан Волькман,Ольга Куриленко,Кевин Янссенс,6.281
Соседи. На тропе войны,США,Николас Столлер,Сет Роген,Роуз Бирн,5.951
Голый пистолет,США,Дэвид Цукер,Лесли Нильсен,Присцилла Пресли,7.369
Джек – покоритель великанов,США,Брайан Сингер,Николас Холт,Элинор Томлинсон,6.31
Самый лучший фильм 2,Россия,Олег Фомин,Тимур Батрутдинов,Гарик Харламов,2.861
Супер 8,США,Джей Джей Абрамс,Джоэл Кортни,Эль Фаннинг,6.54
Волшебная страна,США,Марк Форстер,Джонни Депп,Кейт Уинслет,7.875
Море соблазна,США,Стивен Найт,Мэттью МакКонахи,Энн Хэтэуэй,6.341
Законы привлекательности,Ирландия,Питер Хауит,Пирс Броснан,Джулианна Мур,7.24
Мертвец,США,Джим Джармуш,Джонни Депп,Гэри Фармер,7.845
Город ангелов,США,Брэд Силберлинг,Николас Кейдж,Мег Райан,7.875
Бессонница,США,Кристофер Нолан,Аль Пачино,Робин Уильямс,7.384
Шесть демонов Эмили Роуз,США,Скотт Дерриксон,Лора Линни,Том Уилкинсон,7.188
Бабушка лёгкого поведения 2. Престарелые мстители,Россия,Марюс Вайсберг,Александр Ревва,Дмитрий Нагиев,5.282
Щелкунчик и четыре королевства,Канада,Лассе Халльстрём,Маккензи Фой,Джейден Фовора-Найт,6.178
Полночное солнце,США,Скотт Спир,Белла Торн,Патрик Шварценеггер,6.91
Ромовый дневник,США,Брюс Робинсон,Джонни Депп,Майкл Рисполи,6.534
Из ада,Великобритания,Альберт Хьюз,Джонни Депп,Хизер Грэм,7.507
Шаг вперед 3D,США,Джон М. Чу,Рик Маламбри,Адам Севани,7.222
Любовь между строк,Германия,Ванесса Йопп,Нора Чирнер,Александр Фелинг,7.139
Матрица времени,США,Ри Руссо-Янг,Зои Дойч,Холстон Сейдж,6.391
Флешбэк,США,Мартин Кэмпбелл,Лиам Нисон,Гай Пирс,6.531
Девушка с татуировкой дракона,Швеция,Нильс Арден Оплев,Микаэл Нюквист,Нуми Рапас,7.705
Мулен Руж,Австралия,Баз Лурман,Николь Кидман,Юэн Макгрегор,7.848
Кольская сверхглубокая,Россия,Арсений Сюхин,Милена Радулович,Сергей Иванюк,5.237
101 далматинец,США,Стивен Херек,Гленн Клоуз,Джефф Дэниелс,6.826
Охота,США,Крэйг Зобел,Бетти Гилпин,Хилари Суэнк,6.635
Эволюция,США,Айвен Райтман,Дэвид Духовны,Джулианна Мур,6.983
Письма к Джульетте,США,Гари Виник,Аманда Сайфред,Кристофер Иган,7.169
Связь,США,Джеймс Уорд Биркит,Эмили Бальдони,Мори Стерлинг,6.991
Мизери,США,Роб Райнер,Джеймс Каан,Кэти Бейтс,7.753
Кто там,Чили,Элай Рот,Киану Ривз,Лоренца Иззо,5.632
Бункер,Испания,Андрес Байс,Клара Лаго,Ким Гутьеррес,7.187
Ангелы Чарли,США,МакДжи,Кэмерон Диас,Дрю Бэрримор,6.574
Собачья жизнь 2,США,Гейл Манкусо,Джош Гад,Деннис Куэйд,8.005
13-й воин,США,Джон МакТирнан,Антонио Бандерас,Омар Шариф,7.446
Замерзшая из Майами,США,Йонас Элмер,Рене Зеллвегер,Гарри Конник мл.,6.233
Экипаж,СССР,Александр Митта,Георгий Жжёнов,Анатолий Васильев,8.055
Власть страха,США,Филлип Нойс,Дензел Вашингтон,Анджелина Джоли,7.404
Интердевочка,СССР,Пётр Тодоровский,Елена Яковлева,Томас Лаустиола,7.309
Гостья,США,Эндрю Никкол,Сирша Ронан,Макс Айронс,6.383
Донбасс. Окраина,Россия,Ренат Давлетьяров,Гела Месхи,Евгений Михеев,7.339
Безумно влюблённый,Италия,Франко Кастеллано,Адриано Челентано,Орнелла Мути,8.121
Чужой 4: Воскрешение,США,Жан-Пьер Жёне,Сигурни Уивер,Вайнона Райдер,6.699
Вальдо,США,Тим Киркби,Чарли Ханнэм,Мэл Гибсон,6.811
Инопланетное вторжение: Битва за Лос-Анджелес,США,Джонатан Либесман,Аарон Экхарт,Мишель Родригес,5.739
СуперБобровы,Россия,Дмитрий Дьяченко,Павел Деревянко,Оксана Акиньшина,4.939
Операция «Валькирия»,США,Брайан Сингер,Том Круз,Кеннет Брана,7.379
Девушка в тумане,Италия,Донато Карризи,Тони Сервилло,Жан Рено,6.929
Ловушка времени,США,Марк Деннис,Брианна Хоуи,Кэссиди Гиффорд,6.732
Кома,Россия,Никита Аргунов,Риналь Мухаметов,Любовь Аксёнова,6.475
Во власти стихии,США,Бальтасар Кормакур,Шейлин Вудли,Сэм Клафлин,6.923
22 пули: Бессмертный,Франция,Ришар Берри,Жан Рено,Кад Мерад,7.141
Философы: Урок выживания,США,Джон Хаддлс,Софи Лоу,Джеймс Д’Арси,5.856
Игрушка,Франция,Франсис Вебер,Пьер Ришар,Мишель Буке,7.967
Купи меня,Россия,Вадим Перельман,Анна Адамович,Юлия Хлынина,6.345
Спутник,Россия,Егор Абраменко,Оксана Акиньшина,Пётр Фёдоров,6.301
Затащи меня в Ад,США,Сэм Рэйми,Элисон Ломан,Джастин Лонг,6.122
Элвин и бурундуки 2,США,Бетти Томас,Закари Ливай,Дэвид Кросс,5.705
Папа-досвидос,США,Шон Андерс,Адам Сэндлер,Энди Сэмберг,6.129
Гнев Титанов,США,Джонатан Либесман,Сэм Уортингтон,Лиам Нисон,5.987
Напарник,Россия,Александр Андрющенко,Сергей Гармаш,Андрей Назимов,5.846
21 грамм,США,Алехандро Гонсалес Иньярриту,Шон Пенн,Наоми Уоттс,7.772
Пункт назначения 3,США,Джеймс Вон,Мэри Элизабет Уинстэд,Райан Мерриман,6.356
2067: Петля времени,Австралия,Сет Ларни,Коди Смит-Макфи,Аарон Гленнэйн,5.829
Калина красная,СССР,Василий Шукшин,Василий Шукшин,Лидия Федосеева-Шукшина,8.096
Взрослые игры,США,Макс Уинклер,Зои Дойч,Кэтрин Хан,6.174
Пункт назначения 4,США,Дэвид Р. Эллис,Бобби Кампо,Шантель Ван Сантен,5.652
Заступник,США,Роберт Лоренц,Лиам Нисон,Кэтрин Уинник,6.299
Лара Крофт: Расхитительница гробниц 2 – Колыбель жизни,США,Ян де Бонт,Анджелина Джоли,Джерард Батлер,6.605
Пункт назначения 5,США,Стивен Куэйл,Николас Д’Агосто,Эмма Белл,6.063
Десять негритят,СССР,Станислав Говорухин,Владимир Зельдин,Татьяна Друбич,8.128
"Шпион, которого не было",Великобритания,Адам Паттерсон,Джеймс Нортон,Джемма Артертон,7.15
Бэтмен возвращается,США,Тим Бёртон,Майкл Китон,Дэнни ДеВито,7.403
Главная роль,Испания,Мариано Кон,Пенелопа Крус,Антонио Бандерас,7.048
Возвращение,Россия,Андрей Звягинцев,Константин Лавроненко,Владимир Гарин,7.859
Я – Сэм,США,Джесси Нельсон,Шон Пенн,Мишель Пфайффер,7.999
Лучше не бывает,США,Джеймс Л. Брукс,Джек Николсон,Хелен Хант,7.866
Последний киногерой,США,Джон МакТирнан,Арнольд Шварценеггер,Остин О’Брайен,7.409
Короче,США,Александр Пэйн,Мэтт Дэймон,Кристоф Вальц,5.713
Помпеи,США,Пол У. С. Андерсон,Кит Харингтон,Эмили Браунинг,6.136
13 грехов,США,Даниэль Штамм,Марк Веббер,Рутина Уэсли,6.497
Дом,Россия,Олег Погодин,Сергей Гармаш,Богдан Ступка,7.648
Вавилон,США,Алехандро Гонсалес Иньярриту,Брэд Питт,Кейт Бланшетт,7.561
Духless 2,Россия,Роман Прыгунов,Данила Козловский,Мария Андреева,6.641
Бабник,США,Дэвид Маккензи,Эштон Кутчер,Энн Хеч,6.465
Боевой робот номер 4,Австралия,Марк Тойя,Дэвид Хэверти,Бретт Тутор,6.12
С меня хватит,США,Майкл Аптед,Дженнифер Лопес,Билл Кэмпбелл,7.1
Бунтарка,США,Джессика Бендинджер,Мисси Перегрим,Джефф Бриджес,7.105
Пара на праздники,США,Джон Уайтселл,Эмма Робертс,Люк Брейси,6.556
Тихий омут,США,Том Маккарти,Мэтт Дэймон,Камилль Коттен,6.751
Падение Лондона,США,Бабак Наджафи,Джерард Батлер,Аарон Экхарт,5.882
Женщина-кошка,США,Питоф,Холли Берри,Бенджамин Брэтт,5.804
Злое,США,Джеймс Ван,Аннабелль Уоллис,Мэдди Хассон,6.319
"С любовью, Саймон",США,Грег Берланти,Ник Робинсон,Дженнифер Гарнер,7.329
У холмов есть глаза,США,Александр Ажа,Аарон Стэнфорд,Кэтлин Куинлен,6.568
Прошлой ночью в Нью-Йорке,США,Мэсси Таджедин,Кира Найтли,Сэм Уортингтон,7.244
Чёрный Адам,США,Жауме Кольет-Серра,Дуэйн Джонсон,Элдис Ходж,6.075
Я шагаю по Москве,СССР,Георгий Данелия,Никита Михалков,Алексей Локтев,8.022
Календарь ма(й)я,Россия,Виктория Фанасютина,Данила Уютов,Милана Копничева,7.411
Колония Дигнидад,Германия,Флориан Галленбергер,Эмма Уотсон,Даниэль Брюль,7.311
Девятаев,Россия,Тимур Бекмамбетов,Павел Прилучный,Павел Чинарёв,6.351
Землетрясение,Россия,Сарик Андреасян,Константин Лавроненко,Мария Миронова,6.925
Друзья: Воссоединение,США,Расселл Норман,Дженнифер Энистон,Кортни Кокс,8.479
Донни Браско,США,Майк Ньюэлл,Аль Пачино,Джонни Депп,7.809
Знаки,США,М. Найт Шьямалан,Мэл Гибсон,Хоакин Феникс,6.969
Домашнее видео,США,Джейк Кэздан,Кэмерон Диас,Джейсон Сигел,5.573
Преисподняя,Нидерланды,Мартин Кулховен,Дакота Фаннинг,Гай Пирс,6.973
Все деньги мира,США,Ридли Скотт,Мишель Уильямс,Кристофер Пламмер,6.794
День Святого Валентина,США,Гэрри Маршалл,Эштон Кутчер,Дженнифер Гарнер,6.723
Дюна,США,Дэвид Линч,Кайл МакЛоклен,Юрген Прохнов,6.875
"Крепкий орешек: Хороший день, чтобы умереть",США,Джон Мур,Брюс Уиллис,Джай Кортни,4.909
Уличный кот по кличке Боб,Великобритания,Роджер Споттисвуд,Люк Тредэвэй,Боб,7.722
Коммандос,США,Марк Л. Лестер,Арнольд Шварценеггер,Рэй Дон Чонг,7.375
Бункер,Германия,Оливер Хиршбигель,Бруно Ганц,Александра Мария Лара,7.799
Развод по-американски,США,Пейтон Рид,Винс Вон,Дженнифер Энистон,6.571
"Жизнь, как она есть",США,Грег Берланти,Кэтрин Хайгл,Джош Дюамель,7.452
Generation П,Россия,Виктор Гинзбург,Владимир Епифанцев,Михаил Ефремов,6.637
Неоспоримый 3  (видео),США,Айзек Флорентайн,Скотт Эдкинс,Майкл Шеннон Дженкинс,7.654
Любовь и монстры,Канада,Майкл Мэтьюз,Дилан О’Брайен,Хиро,6.728
Притворись моим парнем,Франция,Давид Моро,Виржини Эфира,Пьер Нинэ,6.799
Оно,США,Дэвид Роберт Митчелл,Майка Монро,Кейр Гилкрист,6.248
Пришельцы,Франция,Жан-Мари Пуаре,Кристиан Клавье,Жан Рено,7.586
Джейн Остин,Великобритания,Джулиан Джаррольд,Энн Хэтэуэй,Джеймс МакЭвой,7.836
Миллион способов потерять голову,США,Сет МакФарлейн,Сет МакФарлейн,Шарлиз Терон,6.234
Одноклассники 2,США,Деннис Дуган,Адам Сэндлер,Кевин Джеймс,6.006
Бабадук,Австралия,Дженнифер Кент,Эсси Дэвис,Ной Уайзман,5.709
Снеговик,Великобритания,Томас Альфредсон,Майкл Фассбендер,Ребекка Фергюсон,5.754
Носители,США,Давид Пастор,Лу Тэйлор Пуччи,Крис Пайн,6.057
Быстрый и мертвый,США,Сэм Рэйми,Шэрон Стоун,Рассел Кроу,7.287
Человек на Луне,США,Дэмьен Шазелл,Райан Гослинг,Клэр Фой,7.089
Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»,Германия,Уэс Андерсон,Джеффри Райт,Эдриан Броуди,7.522
Сделка с дьяволом,США,Ренни Харлин,Стивен Стрейт,Лаура Рэмси,6.778
Сорвиголова,США,Марк Стивен Джонсон,Бен Аффлек,Дженнифер Гарнер,6.128
А зори здесь тихие...,Россия,Ренат Давлетьяров,Пётр Фёдоров,Анастасия Микульчина,7.0
Тёмное зеркало,США,Асаф Бернштейн,Индиа Айсли,Джейсон Айзекс,5.511
Иррациональный человек,США,Вуди Аллен,Хоакин Феникс,Эмма Стоун,6.798
Счастье в конверте,Россия,Светлана Суханова,Фёдор Лещев,Ефим Каменецкий,8.191
Сторож,Россия,Юрий Быков,Юрий Быков,Владислав Абашин,6.568
Сбежавшая невеста,США,Гэрри Маршалл,Джулия Робертс,Ричард Гир,6.827
Любовь в большом городе,Россия,Марюс Вайсберг,Вера Брежнева,Алексей Чадов,6.275
Гранит,Россия,Денис Нейманд,Олег Чернов,Евгений Терских,7.39
Жизнь Адель,Франция,Абделатиф Кешиш,Леа Сейду,Адель Экзаркопулос,7.017
Чёрная Пантера: Ваканда навеки,США,Райан Куглер,Летиша Райт,Лупита Нионго,6.221
Пила 4,Канада,Даррен Линн Боусман,Тобин Белл,Костас Мэндилор,6.888
Трудный ребенок,США,Деннис Дуган,Джон Риттер,Джек Уорден,6.963
Т2 Трейнспоттинг (На игле 2),Великобритания,Дэнни Бойл,Юэн Макгрегор,Юэн Бремнер,7.352
Судья Дредд,США,Дэнни Кэннон,Сильвестр Сталлоне,Арманд Ассанте,6.919
Райское озеро,Великобритания,Джеймс Уоткинс,Келли Райлли,Майкл Фассбендер,6.927
Больше чем любовь,США,Найджел Коул,Аманда Пит,Эштон Кутчер,7.533
Хищник 2,США,Стивен Хопкинс,Дэнни Гловер,Гэри Бьюзи,6.997
Лолита,Франция,Эдриан Лайн,Джереми Айронс,Доминик Суэйн,7.546
Марш-бросок,Россия,Николай Стамбула,Владимир Волга,Ольга Чурсина,7.12
Пила 5,США,Дэвид Хэкл,Тобин Белл,Костас Мэндилор,6.854
Временные трудности,Россия,Михаил Расходников,Риналь Мухаметов,Иван Охлобыстин,6.05
Смокинг,США,Кевин Донован,Джеки Чан,Дженнифер Лав Хьюитт,6.912
Человек-слон,США,Дэвид Линч,Энтони Хопкинс,Джон Хёрт,8.106
Лето 84,Канада,Франсуа Симар,Грэм Верчир,Джуда Льюис,6.881
Дворецкий,США,Ли Дэниелс,Форест Уитакер,Опра Уинфри,7.377
Пила: Спираль,США,Даррен Линн Боусман,Крис Рок,Макс Мингелла,5.365
"Гори, гори ясно",США,Дэвид Яровески,Элизабет Бэнкс,Дэвид Денман,5.833
Ноттинг Хилл,Великобритания,Роджер Мичелл,Джулия Робертс,Хью Грант,7.282
Дедушка нелегкого поведения,США,Тим Хилл,Роберт Де Ниро,Оакс Фигли,6.407
Парень с нашего кладбища,Россия,Илья Чижиков,Александр Паль,Игорь Жижикин,6.286
"Я люблю тебя, Филлип Моррис",Франция,Гленн Фикарра,Джим Керри,Юэн Макгрегор,6.892
Страсти Дон Жуана,США,Джозеф Гордон-Левитт,Джозеф Гордон-Левитт,Скарлетт Йоханссон,6.147
Час расплаты,США,Джон Ву,Бен Аффлек,Ума Турман,7.05
Спуск,Великобритания,Нил Маршалл,Шона МакДональд,Натали Джексон Мендоса,6.808
Полицейский с Рублевки. Новогодний беспредел 2,Россия,Илья Куликов,Сергей Бурунов,Роман Попов,5.796
Близнецы,США,Айвен Райтман,Арнольд Шварценеггер,Дэнни ДеВито,7.209
Разрушитель,США,Марко Брамбилла,Сильвестр Сталлоне,Уэсли Снайпс,7.528
Коломбиана,Франция,Оливье Мегатон,Зои Салдана,Хорди Молья,6.623
"Париж, я люблю тебя",Франция,Оливье Ассайас,Фанни Ардан,Жюли Батай,7.546
Ёлки 5,Россия,Тимур Бекмамбетов,Константин Хабенский,Иван Ургант,4.831
Горько! 2,Россия,Жора Крыжовников,Ян Цапник,Юлия Александрова,3.735
Один вдох,Россия,Елена Хазанова,Виктория Исакова,Максим Суханов,7.405
"Дикий, дикий Запад",США,Барри Зонненфельд,Уилл Смит,Кевин Клайн,6.822
Секс в большом городе 2,США,Майкл Патрик Кинг,Сара Джессика Паркер,Ким Кэтролл,6.22
Братство,Россия,Павел Лунгин,Кирилл Пирогов,Ян Цапник,6.638
Меню,США,Марк Майлод,Рэйф Файнс,Аня Тейлор-Джой,6.73
Дом на глубине,Франция,Александр Бустильо,Камилль Роу,Джеймс Джаггер,5.591
Чрезвычайная ситуация,Корея,Хан Джэ-рим,Ли Бён-хон,Сон Кан-хо,7.148
Королева бензоколонки,СССР,Николай Литус,Надежда Румянцева,Андрей Сова,7.967
Черная месса,США,Скотт Купер,Джонни Депп,Джоэл Эдгертон,6.59
Бегущий человек,США,Пол Майкл Глейзер,Арнольд Шварценеггер,Мария Кончита Алонсо,7.138
Рекрут,США,Роджер Дональдсон,Аль Пачино,Колин Фаррелл,7.338
Пила 3D,США,Кевин Гротерт,Костас Мэндилор,Шон Патрик Флэнери,6.614
Красавица и чудовище,Франция,Кристоф Ган,Леа Сейду,Венсан Кассель,6.55
Английский пациент,США,Энтони Мингелла,Рэйф Файнс,Кристин Скотт Томас,7.856
Томирис,Казахстан,Акан Сатаев,Альмира Турсын,Адиль Ахметов,7.557
Операция «Мертвый снег»,Норвегия,Томми Виркола,Вегар Хуль,Стиг Фроде Хенриксен,5.745
Скиф,Россия,Рустам Мосафир,Алексей Фаддеев,Александр Кузнецов,6.786
Шоугелз,Франция,Пол Верховен,Элизабет Беркли,Кайл МакЛоклен,6.922
Джиперс Криперс,США,Виктор Сальва,Джина Филипс,Джастин Лонг,6.78
Госпожа горничная,США,Уэйн Ван,Дженнифер Лопес,Рэйф Файнс,6.752
Это чертово сердце,Германия,Марк Ротемунд,Элиас М’Барек,Филип Шварц,7.779
Рассказы,Россия,Михаил Сегал,Андрей Мерзликин,Игорь Угольников,7.106
Парк Юрского периода 3,США,Джо Джонстон,Сэм Нил,Уильям Х. Мэйси,6.676
Миссис Даутфайр,США,Крис Коламбус,Робин Уильямс,Салли Филд,7.742
Удача Логана,США,Стивен Содерберг,Ченнинг Татум,Адам Драйвер,6.821
Астрал 4: Последний ключ,США,Адам Робител,Лин Шэй,Ли Уоннелл,5.749
Кикбоксер,США,Марк ДиСалле,Жан-Клод Ван Дамм,Деннис Алексио,7.307
Путешествие Гектора в поисках счастья,Великобритания,Питер Челсом,Саймон Пегг,Тони Коллетт,7.233
Пила 6,Канада,Кевин Гротерт,Тобин Белл,Костас Мэндилор,6.824
Заколдованная Элла,США,Томми О’Хейвер,Энн Хэтэуэй,Хью Дэнси,6.804
Кит,США,Тодд Кесслер,Джесси МакКартни,Элизабет Арнуа,7.62
Если я останусь,США,Р.Дж. Катлер,Хлоя Грейс Морец,Мирей Инос,6.901
Небо,Россия,Игорь Копылов,Игорь Петренко,Иван Батарев,7.25
Взрыв из прошлого,США,Хью Уилсон,Брендан Фрейзер,Алисия Сильверстоун,7.603
Мартовские иды,США,Джордж Клуни,Райан Гослинг,Джордж Клуни,7.023
Знахарь,Польша,Ежи Гоффман,Ежи Биньчицкий,Анна Дымна,8.165
Нормальный только я,Россия,Антон Богданов,Антон Богданов,Ольга Лерман,7.4
Сибирский цирюльник,Россия,Никита Михалков,Олег Меньшиков,Джулия Ормонд,7.785
"Я, Франкенштейн",США,Стюарт Битти,Аарон Экхарт,Ивонн Страховски,5.235
Падение Луны,США,Роланд Эммерих,Патрик Уилсон,Холли Берри,5.441
Оторва,США,Ник Мур,Эмма Робертс,Алекс Петтифер,7.04
"Шпион, который меня кинул",США,Сюзанна Фогель,Мила Кунис,Кейт МакКиннон,6.086
Дело №39,Канада,Кристиан Альварт,Рене Зеллвегер,Джоделль Ферланд,6.634
Римские приключения,США,Вуди Аллен,Вуди Аллен,Алек Болдуин,7.008
El Camino: Во все тяжкие,США,Винс Гиллиган,Аарон Пол,Мэтт Джонс,7.194
Криминальный город,Корея,Кан Юн-сон,Ма Дон-сок,Юн Ге-сан,7.297
Шеф Адам Джонс,США,Джон Уэллс,Брэдли Купер,Сиенна Миллер,6.686
Стриптизёрши,США,Лорин Скафария,Констанс Ву,Дженнифер Лопес,5.927
"Человек, который познал бесконечность",Великобритания,Мэтт Браун,Джереми Айронс,Дев Патель,7.484
Мадам Парфюмер,Франция,Грегори Магне,Эммануэль Дево,Грегори Монтель,7.273
Сука-любовь,Мексика,Алехандро Гонсалес Иньярриту,Эмилио Эчеваррия,Гаэль Гарсиа Берналь,7.914
Дитя робота,Австралия,Грант Спьютор,Клара Ругор,Роуз Бирн,6.698
Криминальный город 2,Корея,Ли Сан-ён,Ма Дон-сок,Сон Сок-ку,7.508
Проект «Адам»,США,Шон Леви,Райан Рейнольдс,Уокер Скобелл,6.587
Гремлины,США,Джо Данте,Зак Гэллиган,Фиби Кейтс,7.375
Последний клиент,Дания,Андерс Рённов Кларлунд,Синье Эгхольм Олсен,Антон Николай Йейле Эберг,7.028
Лок,Великобритания,Стивен Найт,Том Харди,Оливия Колман,6.871
Бриджит Джонс 3,США,Шэрон Магуайр,Рене Зеллвегер,Колин Фёрт,6.678
Шерлок Холмс и доктор Ватсон: Двадцатый век начинается  (ТВ),СССР,Игорь Масленников,Василий Ливанов,Виталий Соломин,8.21
Иллюзия полета,США,Роберт Швентке,Джоди Фостер,Питер Сарсгаард,7.144
Бриллиантовый полицейский,Германия,Лес Мэйфилд,Мартин Лоуренс,Люк Уилсон,7.579
Жасмин,США,Вуди Аллен,Кейт Бланшетт,Салли Хокинс,7.111
В осаде,Франция,Эндрю Дэвис,Стивен Сигал,Томми Ли Джонс,7.326
Континуум,США,Дин Израэлайт,Джонни Уэстон,София Блэк-Д’Элиа,6.448
Тринадцатый этаж,США,Йозеф Руснак,Крэйг Бирко,Гретхен Мол,7.578
Танцующий с волками,США,Кевин Костнер,Кевин Костнер,Мэри МакДоннелл,8.114
Ларго Винч: Начало,Франция,Жером Салль,Томер Сисле,Кристин Скотт Томас,7.033
Мавританец,Великобритания,Кевин Макдональд,Джоди Фостер,Тахар Рахим,7.383
Бруно,США,Ларри Чарльз,Саша Барон Коэн,Густаф Хаммарстен,5.808
Кухня. Последняя битва,Россия,Антон Федотов,Дмитрий Назаров,Дмитрий Нагиев,6.117
Хостел,США,Элай Рот,Джей Эрнандес,Дерек Ричардсон,6.156
Король Ричард,США,Рейнальдо Маркус Грин,Уилл Смит,Онжаню Эллис,7.57
Баллада Бастера Скраггса,США,Итан Коэн,Тим Блейк Нельсон,Джеймс Франко,7.266
Обратная связь,Россия,Алексей Нужный,Леонид Барац,Ирина Горбачева,6.928
Одинокий мужчина,США,Том Форд,Колин Фёрт,Джулианна Мур,7.765
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",Великобритания,Стэнли Кубрик,Питер Селлерс,Джордж К. Скотт,8.026
Конан-варвар,США,Маркус Ниспел,Джейсон Момоа,Стивен Лэнг,5.657
Нападение на Рио Браво,США,Джо Корнет,Александр Невский,Оливье Грюнер,NaN
Большой,США,Пенни Маршалл,Том Хэнкс,Элизабет Перкинс,7.904
Вавилон Н.Э.,Великобритания,Матьё Кассовиц,Вин Дизель,Мишель Йео,6.036
Планета страха,США,Роберт Родригес,Роуз МакГоун,Фредди Родригес,6.734
Репортаж,Испания,Жауме Балагеро,Мануэла Веласко,Ферран Терраса,6.991
Кровавый четверг,США,Скип Вудс,Томас Джейн,Аарон Экхарт,7.858
Обратный отсчет,США,Джастин Дек,Элизабет Лэил,Джордан Кэллоуэй,5.662
В доме,Франция,Франсуа Озон,Фабрис Лукини,Эрнст Умоер,7.328
Цена страсти,Германия,Мэтью Чэпмен,Чарли Ханнэм,Лив Тайлер,7.174
Игра на выживание,США,Эйтор Далия,Аманда Сайфред,Дэниел Сунджата,6.283
Спуск 2,Великобритания,Джон Харрис,Шона МакДональд,Натали Джексон Мендоса,5.968
Туннель: Опасно для жизни,Норвегия,Пол Ойе,Торбьорн Харр,Ильва Фюглегуд,6.673
Скажи ей,Россия,Александр Молочников,Кай Гетц,Артём Быстров,7.324
Возвращение героя,США,Ким Джи-ун,Арнольд Шварценеггер,Форест Уитакер,6.635
Стукач,США,Рик Роман Во,Дуэйн Джонсон,Барри Пеппер,6.808
Три девятки,США,Джон Хиллкоут,Чиветель Эджиофор,Кейси Аффлек,6.218
Мамы,Россия,Евгений Абызов,Сергей Безруков,Дмитрий Дюжев,7.07
Повар на колесах,США,Джон Фавро,Джон Фавро,София Вергара,6.93
Сокровище Амазонки,США,Питер Берг,Дуэйн Джонсон,Шонн Уильям Скотт,7.096
Заклятие 3: По воле дьявола,США,Майкл Чавес,Патрик Уилсон,Вера Фармига,6.262
