title,country,director,actor_1,actor_2,ratingKP
Еще по одной,Дания,Томас Винтерберг,Мадс Миккельсен,Томас Бо Ларсен,7.54
Лучшее предложение,Италия,Джузеппе Торнаторе,Джеффри Раш,Джим Стёрджесс,7.991
Человек-паук: Возвращение домой,США,Джон Уоттс,Том Холланд,Роберт Дауни мл.,7.156
Хоббит: Битва пяти воинств,Новая,Питер Джексон,Мартин Фриман,Иэн Маккеллен,7.875
Безумный Макс: Дорога ярости,Австралия,Джордж Миллер,Том Харди,Шарлиз Терон,7.827
Варкрафт,США,Дункан Джонс,Трэвис Фиммел,Пола Пэттон,7.628
Пираты Карибского моря: Мертвецы не рассказывают сказки,США,Хоаким Роннинг,Джонни Депп,Хавьер Бардем,6.684
Звёздные войны: Эпизод 3 – Месть ситхов,США,Джордж Лукас,Юэн Макгрегор,Натали Портман,8.109
Отпуск по обмену,США,Нэнси Майерс,Кэмерон Диас,Кейт Уинслет,7.779
Крестный отец,США,Фрэнсис Форд Коппола,Марлон Брандо,Аль Пачино,8.71
Мальчишник в Вегасе,США,Тодд Филлипс,Брэдли Купер,Эд Хелмс,7.864
Ван Хельсинг,США,Стивен Соммерс,Хью Джекман,Кейт Бекинсейл,7.595
Хэнкок,США,Питер Берг,Уилл Смит,Шарлиз Терон,7.418
Дневник памяти,США,Ник Кассаветис,Райан Гослинг,Рэйчел Макадамс,8.247
Укрощение строптивого,Италия,Франко Кастеллано,Адриано Челентано,Орнелла Мути,8.391
Первый мститель,США,Джо Джонстон,Крис Эванс,Хейли Этвелл,6.727
Капитан Марвел,США,Анна Боден,Бри Ларсон,Сэмюэл Л. Джексон,6.516
Такси,Франция,Жерар Пирес,Сами Насери,Фредерик Дифенталь,7.936
Человек дождя,США,Барри Левинсон,Дастин Хоффман,Том Круз,8.242
Изгой,США,Роберт Земекис,Том Хэнкс,Хелен Хант,8.253
Трансформеры,США,Майкл Бэй,Шайа ЛаБаф,Меган Фокс,7.577
Аладдин,США,Гай Ричи,Мена Массуд,Наоми Скотт,7.32
Шестое чувство,США,М. Найт Шьямалан,Брюс Уиллис,Хэйли Джоэл Осмент,8.187
2012,США,Роланд Эммерих,Джон Кьюсак,Аманда Пит,6.903
Чебурашка,Россия,Дмитрий Дьяченко,Сергей Гармаш,Ольга Кузьмина,7.278
Сумерки,США,Кэтрин Хардвик,Кристен Стюарт,Роберт Паттинсон,6.693
Бэтмен: Начало,США,Кристофер Нолан,Кристиан Бэйл,Кэти Холмс,7.928
Движение вверх,Россия,Антон Мегердичев,Владимир Машков,Андрей Смоляков,7.477
Алиса в Стране чудес,США,Тим Бёртон,Джонни Депп,Миа Васиковска,7.127
Реквием по мечте,США,Даррен Аронофски,Джаред Лето,Марлон Уайанс,7.994
Конёк-Горбунок,Россия,Олег Погодин,Антон Шагин,Павел Деревянко,6.916
Одиннадцать друзей Оушена,США,Стивен Содерберг,Джордж Клуни,Брэд Питт,8.084
Американская история X,США,Тони Кэй,Эдвард Нортон,Эдвард Ферлонг,8.296
Звёздные войны: Эпизод 1 – Скрытая угроза,США,Джордж Лукас,Лиам Нисон,Юэн Макгрегор,7.929
Чёрная Вдова,США,Кейт Шортланд,Скарлетт Йоханссон,Флоренс Пью,6.311
Назад в будущее 3,США,Роберт Земекис,Майкл Дж. Фокс,Кристофер Ллойд,8.192
Король говорит!,Великобритания,Том Хупер,Колин Фёрт,Джеффри Раш,8.014
Стажёр,США,Нэнси Майерс,Роберт Де Ниро,Энн Хэтэуэй,7.612
Пианист,Франция,Роман Полански,Эдриан Броуди,Эмилия Фокс,8.464
Принц Персии: Пески времени,США,Майк Ньюэлл,Джейк Джилленхол,Джемма Артертон,7.332
Я худею,Россия,Алексей Нужный,Александра Бортич,Ирина Горбачева,6.872
Логан,США,Джеймс Мэнголд,Хью Джекман,Патрик Стюарт,7.646
Собачье сердце  (ТВ),СССР,Владимир Бортко,Владимир Толоконников,Евгений Евстигнеев,8.373
День курка,США,Джо Карнахан,Фрэнк Грилло,Мэл Гибсон,7.146
"Знакомьтесь, Джо Блэк",США,Мартин Брест,Брэд Питт,Энтони Хопкинс,8.066
Прибытие,США,Дени Вильнёв,Эми Адамс,Джереми Реннер,7.598
Первый мститель: Другая война,США,Энтони Руссо,Крис Эванс,Скарлетт Йоханссон,7.27
Всегда говори «ДА»,США,Пейтон Рид,Джим Керри,Зои Дешанель,7.809
Тор 2: Царство тьмы,США,Алан Тейлор,Крис Хемсворт,Натали Портман,7.238
Иллюзия обмана 2,США,Джон М. Чу,Джесси Айзенберг,Марк Руффало,6.648
Век Адалин,США,Ли Толанд Кригер,Блейк Лайвли,Михил Хёйсман,7.727
Пролетая над гнездом кукушки,США,Милош Форман,Джек Николсон,Луиза Флетчер,8.518
Книга Илая,США,Альберт Хьюз,Дензел Вашингтон,Гари Олдман,7.149
Апгрейд,Австралия,Ли Уоннелл,Логан Маршалл-Грин,Мелани Валльехо,7.586
Пол: Секретный материальчик,Великобритания,Грег Моттола,Саймон Пегг,Ник Фрост,7.238
Амели,Франция,Жан-Пьер Жёне,Одри Тоту,Матьё Кассовиц,8.015
Жмурки,Россия,Алексей Балабанов,Алексей Панин,Дмитрий Дюжев,7.21
Огонь,Россия,Алексей Нужный,Константин Хабенский,Иван Янковский,7.773
Человек-паук 3: Враг в отражении,США,Сэм Рэйми,Тоби Магуайр,Кирстен Данст,7.101
Добро пожаловать в Zомбилэнд,США,Рубен Фляйшер,Джесси Айзенберг,Вуди Харрельсон,7.436
Чёрный лебедь,США,Даррен Аронофски,Натали Портман,Мила Кунис,7.736
Новый Человек-паук,США,Марк Уэбб,Эндрю Гарфилд,Эмма Стоун,6.926
Риддик,Канада,Дэвид Туи,Вин Дизель,Хорди Молья,6.665
Отпетые мошенницы,США,Крис Эддисон,Энн Хэтэуэй,Ребел Уилсон,6.506
Мистер и миссис Смит,США,Даг Лайман,Брэд Питт,Анджелина Джоли,7.536
Мы — Миллеры,США,Роусон Маршалл Тёрбер,Дженнифер Энистон,Джейсон Судейкис,7.248
Сплит,США,М. Найт Шьямалан,Джеймс МакЭвой,Аня Тейлор-Джой,7.013
Джон Уик 2,США,Чад Стахелски,Киану Ривз,Риккардо Скамарчо,7.082
Убийство в Восточном экспрессе,США,Кеннет Брана,Кеннет Брана,Пенелопа Крус,6.885
Бегущий в лабиринте,США,Уэс Болл,Дилан О’Брайен,Томас Сэнгстер,6.815
Звёздные войны: Эпизод 4 – Новая надежда,США,Джордж Лукас,Марк Хэмилл,Харрисон Форд,8.116
Прометей,США,Ридли Скотт,Нуми Рапас,Майкл Фассбендер,7.019
Троя,США,Вольфганг Петерсен,Брэд Питт,Эрик Бана,8.04
Шерлок Холмс: Игра теней,США,Гай Ричи,Роберт Дауни мл.,Джуд Лоу,7.852
Старикам тут не место,США,Итан Коэн,Томми Ли Джонс,Джош Бролин,7.798
Мумия,США,Стивен Соммерс,Брендан Фрейзер,Рэйчел Вайс,7.808
Человек-муравей,США,Пейтон Рид,Пол Радд,Майкл Дуглас,7.1
Социальная сеть,США,Дэвид Финчер,Джесси Айзенберг,Эндрю Гарфилд,7.729
Джон Уик 3,США,Чад Стахелски,Киану Ривз,Холли Берри,6.9
Грязь,Великобритания,Джон С. Бейрд,Джеймс МакЭвой,Джейми Белл,7.634
Человек-паук 2,США,Сэм Рэйми,Тоби Магуайр,Кирстен Данст,7.338
Фантастические твари: Преступления Грин-де-Вальда,Великобритания,Дэвид Йейтс,Эдди Редмэйн,Джонни Депп,6.71
Вторая жизнь Уве,Швеция,Ханнес Холм,Рольф Лассгор,Бахар Парс,8.183
Крепкий орешек,США,Джон МакТирнан,Брюс Уиллис,Алан Рикман,8.044
Стрелок,США,Антуан Фукуа,Марк Уолберг,Майкл Пенья,7.673
Трасса 60,Канада,Боб Гейл,Джеймс Марсден,Гари Олдман,8.03
Славные парни,США,Шейн Блэк,Райан Гослинг,Ким Бейсингер,7.246
В джазе только девушки,США,Билли Уайлдер,Мэрилин Монро,Тони Кертис,8.45
Привидение,США,Джерри Цукер,Патрик Суэйзи,Деми Мур,8.173
Механик,США,Саймон Уэст,Джейсон Стэйтем,Бен Фостер,6.763
Эквилибриум,США,Курт Уиммер,Кристиан Бэйл,Тэй Диггз,7.884
Ла-Ла Ленд,США,Дэмьен Шазелл,Райан Гослинг,Эмма Стоун,7.963
Терминатор,США,Джеймс Кэмерон,Арнольд Шварценеггер,Майкл Бин,7.978
Меч короля Артура,Великобритания,Гай Ричи,Чарли Ханнэм,Астрид Берже-Фрисби,7.157
О чём говорят мужчины,Россия,Дмитрий Дьяченко,Леонид Барац,Александр Демидов,7.79
Иллюзионист,США,Нил Бёргер,Эдвард Нортон,Пол Джаматти,8.005
Я иду искать,США,Мэттью Беттинелли,Самара Уивинг,Адам Броди,6.934
Жизнь Пи,США,Энг Ли,Сурадж Шарма,Ирфан Кхан,7.833
Голодные игры: И вспыхнет пламя,США,Фрэнсис Лоуренс,Дженнифер Лоуренс,Джош Хатчерсон,7.48
Тихое место,США,Джон Красински,Эмили Блант,Джон Красински,6.82
Девушка с татуировкой дракона,США,Дэвид Финчер,Дэниэл Крэйг,Руни Мара,7.748
Гран Торино,США,Клинт Иствуд,Клинт Иствуд,Би Ванг,8.144
Мальчик в полосатой пижаме,Великобритания,Марк Херман,Эйса Баттерфилд,Джек Скэнлон,8.182
Телохранитель киллера,США,Патрик Хьюз,Райан Рейнольдс,Сэмюэл Л. Джексон,6.96
Храброе сердце,США,Мэл Гибсон,Мэл Гибсон,Софи Марсо,8.292
Облачный атлас,США,Лана Вачовски,Том Хэнкс,Холли Берри,7.743
Kingsman: Золотое кольцо,Великобритания,Мэттью Вон,Тэрон Эджертон,Колин Фёрт,6.963
Звёздные войны: Эпизод 5 – Империя наносит ответный удар,США,Ирвин Кершнер,Марк Хэмилл,Харрисон Форд,8.142
Три тысячи лет желаний,Австралия,Джордж Миллер,Тильда Суинтон,Идрис Эльба,7.247
Люди Икс: Дни минувшего будущего,Великобритания,Брайан Сингер,Хью Джекман,Джеймс МакЭвой,7.729
Круиз по джунглям,США,Жауме Кольет-Серра,Эмили Блант,Дуэйн Джонсон,6.843
Последний богатырь: Корень зла,Россия,Дмитрий Дьяченко,Виктор Хориняк,Мила Сивацкая,7.065
Третий лишний,США,Сет МакФарлейн,Марк Уолберг,Мила Кунис,6.709
Спасти рядового Райана,США,Стивен Спилберг,Том Хэнкс,Том Сайзмор,8.183
Во всё тяжкое,США,Уэйн Робертс,Джонни Депп,Розмари ДеУитт,7.305
Чужой,Великобритания,Ридли Скотт,Сигурни Уивер,Том Скеррит,8.075
Джон Картер,США,Эндрю Стэнтон,Тейлор Китч,Линн Коллинс,6.925
Район №9,ЮАР,Нил Бломкамп,Шарлто Копли,Джейсон Коуп,7.771
Невероятная жизнь Уолтера Митти,США,Бен Стиллер,Бен Стиллер,Кристен Уиг,7.714
Сонная Лощина,США,Тим Бёртон,Джонни Депп,Кристина Риччи,7.936
Большой Лебовски,США,Джоэл Коэн,Джефф Бриджес,Джон Гудман,7.799
